province_name,province_name_en,plate_code,iso_code,region,nuts1_code,nuts2_code,nuts3_code,latitude,longitude,area_km2,city_center_elevation_m,population,population_male,population_female,population_density,population_growth_rate,median_age,district_count,gdp_try,gdp_per_capita_try,gdp_per_capita_usd,population_year,gdp_year,wikipedia_url,wikipedia_url_en,official_website
Bilecik,Bilecik,11,TR-11,Marmara,TR4,TR41,TR413,40.14306,29.97917,4179,513,228995,115833,113162,55,0.22,,8,120524943135,527473,16068,2025,2024,https://tr.wikipedia.org/wiki/Bilecik_(il),https://en.wikipedia.org/wiki/Bilecik_Province,https://www.bilecik.gov.tr/
Bingöl,Bingol,12,TR-12,Eastern Anatolia,TRB,TRB1,TRB13,38.88611,40.50167,8004,1151,282299,141831,140468,35,-0.34,,8,78386151788,276713,8429,2025,2024,https://tr.wikipedia.org/wiki/Bing%C3%B6l_ili,https://en.wikipedia.org/wiki/Bing%C3%B6l_Province,https://bingol.gov.tr/
Bitlis,Bitlis,13,TR-13,Eastern Anatolia,TRB,TRB2,TRB23,38.4,42.10833,8294,1605,360423,186601,173822,43,0.17,,7,83428321152,231869,7063,2025,2024,https://tr.wikipedia.org/wiki/Bitlis_(il),https://en.wikipedia.org/wiki/Bitlis_Province,https://www.bitlis.gov.tr/
Bolu,Bolu,14,TR-14,Black Sea,TR4,TR42,TR424,40.67917,31.55833,8313,725,327173,162989,164184,39,0.23,38.8,9,178975603653,548317,16703,2025,2024,https://tr.wikipedia.org/wiki/Bolu_(il),https://en.wikipedia.org/wiki/Bolu_Province,https://www.bolu.gov.tr/
Burdur,Burdur,15,TR-15,Mediterranean,TR6,TR61,TR613,37.7203,30.2908,7175,950,277226,139689,137537,39,0.51,,11,108199919976,392276,11950,2025,2024,https://tr.wikipedia.org/wiki/Burdur_(il),https://en.wikipedia.org/wiki/Burdur_Province,https://www.burdur.gov.tr/
Bursa,Bursa,16,TR-16,Marmara,TR4,TR41,TR411,40.1972,29.0622,10813,155,3263011,1628212,1634799,302,0.75,,17,1596237085368,492876,15014,2025,2024,https://tr.wikipedia.org/wiki/Bursa_(il),https://en.wikipedia.org/wiki/Bursa_Province,https://www.bursa.gov.tr/
Çanakkale,Canakkale,17,TR-17,Marmara,TR2,TR22,TR222,40.1555,26.4127,9933,2,573976,284409,289567,58,0.88,,12,274628508880,482680,14704,2025,2024,https://tr.wikipedia.org/wiki/Çanakkale_(il),https://en.wikipedia.org/wiki/Çanakkale_Province,https://www.canakkale.gov.tr/
Çankırı,Cankiri,18,TR-18,Central Anatolia,TR8,TR82,TR822,40.5986,33.6192,7542,800,200549,100567,99982,26,0.28,40.3,12,86069022666,430386,13111,2025,2024,https://tr.wikipedia.org/wiki/Çankırı_(il),https://en.wikipedia.org/wiki/Çankırı_Province,https://www.cankiri.gov.tr/
Çorum,Corum,19,TR-19,Black Sea,TR8,TR83,TR833,40.5522,34.9539,12428,820,519590,258085,261505,42,-0.3,41.3,14,171313287675,328605,10010,2025,2024,https://tr.wikipedia.org/wiki/Çorum_(il),https://en.wikipedia.org/wiki/Çorum_Province,https://www.corum.gov.tr/
Denizli,Denizli,20,TR-20,Aegean,TR3,TR32,TR322,37.84,29.07,12134,354,1060975,526573,534402,87,-0.04,,19,436272304066,411046,12522,2025,2024,https://tr.wikipedia.org/wiki/Denizli_(il),https://en.wikipedia.org/wiki/Denizli_Province,https://www.denizli.gov.tr/
